scenario,model_feature,training_count,v3_count,training_mean,v3_mean,training_median,v3_median,training_p95,v3_p95,training_zero_percentage,v3_zero_percentage,ks_statistic
normal-http-test,destination_port,2273097,61,9419.5458984375,7947.540983606557,80.0,8080.0,56376.0,8080.0,0.07434790508280113,1.639344262295082,0.7960637468414671
normal-http-test,flow_duration,2273097,61,11220821.0,91596.6393442623,30996.0,2132.0,113326992.0,7776.0,0.07817528244505184,8.19672131147541,0.5684139809053896
normal-http-test,total_fwd_packets,2273097,61,10.654172897338867,2.5081967213114753,2.0,2.0,21.0,3.0,0.0,0.0,0.25090487328701694
normal-http-test,total_backward_packets,2273097,61,12.138636589050293,1.9836065573770492,2.0,0.0,19.0,4.0,14.559519457374675,50.81967213114754,0.36260152673772866
normal-http-test,total_length_of_fwd_packets,2273097,61,635.536865234375,40.32786885245902,66.0,0.0,2156.0,82.0,12.762631775062832,50.81967213114754,0.3832049402203249
normal-http-test,total_length_of_bwd_packets,2273097,61,18848.70703125,104.75409836065573,130.0,0.0,7387.0,213.0,24.875357276878198,50.81967213114754,0.3502582599862655
normal-http-test,fwd_packet_length_max,2273097,61,230.38616943359375,40.32786885245902,40.0,0.0,904.0,82.0,12.762631775062832,50.81967213114754,0.3805704035608471
normal-http-test,fwd_packet_length_min,2273097,61,22.79337501525879,0.0,6.0,0.0,55.0,0.0,39.40456566525757,100.0,0.6059543433474243
normal-http-test,fwd_packet_length_mean,2273097,61,66.39606475830078,13.330601092896176,37.0,0.0,153.7073211669922,27.333333333333332,12.762631775062832,50.81967213114754,0.6489041162783639
normal-http-test,fwd_packet_length_std,2273097,61,74.55630493164062,23.17932688742508,0.0,0.0,284.82562255859375,47.34272207354931,68.45334800934583,50.81967213114754,0.2672638067698163
normal-http-test,bwd_packet_length_max,2273097,61,396.5347900390625,90.98360655737704,83.0,0.0,2121.199951171875,185.0,24.875357276878198,50.81967213114754,0.25944314854269346
normal-http-test,bwd_packet_length_min,2273097,61,50.66246795654297,0.0,6.0,0.0,176.0,0.0,45.76967019005348,100.0,0.5423032980994652
normal-http-test,bwd_packet_length_mean,2273097,61,160.7966766357422,26.013934426229508,77.0,0.0,724.5398559570312,53.25,24.875357276878198,50.81967213114754,0.58529002501873
normal-http-test,bwd_packet_length_std,2273097,61,123.12596130371094,43.545732509164154,0.0,0.0,756.639892578125,88.81957366857074,75.85276827165757,50.81967213114754,0.2906930752964124
normal-http-test,flow_bytes_s,2271320,56,1779841.5,38209.65223638615,5149.7724609375,34476.98014168563,3000000.0,133540.71646119648,12.250893753412113,46.42857142857143,0.3417393535791648
normal-http-test,flow_packets_s,2271320,56,64778.58984375,5703.397050425767,122.52649688720703,2388.185695225582,565217.375,23255.81395348837,0.0,0.0,0.5730318556107084
normal-http-test,flow_iat_mean,2273097,61,908848.3125,89441.5519125683,10575.0,401.0,3627519.0,1585.1666666666663,0.07817528244505184,8.19672131147541,0.5714015348901074
normal-http-test,flow_iat_std,2273097,61,1577395.375,731.7437970110616,109.30233001708984,0.0,4973367.0,2402.343806924119,34.07324896385856,50.81967213114754,0.4454869281865226
normal-http-test,flow_iat_max,2273097,61,4473837.5,90892.88524590163,30667.0,1303.0,19900000.0,6520.0,0.07813128960180757,8.19672131147541,0.5705819482204668
normal-http-test,flow_iat_min,2273097,61,147532.109375,89022.4262295082,4.0,25.0,69335.0,1129.0,2.314287511707595,21.311475409836063,0.32784989226477224
normal-http-test,fwd_iat_total,2273097,61,10899690.0,89761.72131147541,4.0,627.0,113000000.0,4476.0,24.122551743282404,8.19672131147541,0.5252426859788614
normal-http-test,fwd_iat_mean,2273097,61,1900297.5,89371.8606557377,4.0,320.5,6882257.0,2238.0,24.122551743282404,8.19672131147541,0.5267617588560857
normal-http-test,fwd_iat_std,2273097,61,1248621.25,398.34467353978954,0.0,0.0,5013012.0,2443.7610357807084,67.7062615453718,50.81967213114754,0.29518317960034257
normal-http-test,fwd_iat_max,2273097,61,4321197.0,89674.14754098361,4.0,492.0,17100000.0,4476.0,24.122551743282404,8.19672131147541,0.5257217680417914
normal-http-test,fwd_iat_min,2273097,61,1139994.25,89092.0655737705,3.0,162.0,42270.19921875,1176.0,24.61562353036408,21.311475409836063,0.5635340711625492
normal-http-test,bwd_iat_total,2273097,61,10163555.0,2401.3606557377047,3.0,0.0,110000000.0,7388.0,41.95135535351109,50.81967213114754,0.26042883343737644
normal-http-test,bwd_iat_mean,2273097,61,1782199.5,792.0109289617487,3.0,0.0,7254980.5,2462.666666666667,41.95135535351109,50.81967213114754,0.2574421593095235
normal-http-test,bwd_iat_std,2273097,61,992756.6875,954.9312383056869,0.0,0.0,4998374.5,3319.3157929509107,75.53333623686099,50.81967213114754,0.25556478996586995
normal-http-test,bwd_iat_max,2273097,61,3746856.25,1875.3934426229507,3.0,0.0,10300000.0,6336.0,41.95135535351109,50.81967213114754,0.2607979333921957
normal-http-test,bwd_iat_min,2273097,61,1119435.875,87.98360655737704,2.0,0.0,1486.0,310.0,42.40162210411611,50.81967213114754,0.38714782403788717
normal-http-test,fwd_psh_flags,2273097,61,0.0548863522708416,0.0,0.0,0.0,1.0,0.0,94.51136489115952,100.0,0.054886351088404894
normal-http-test,bwd_psh_flags,2273097,61,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
normal-http-test,fwd_urg_flags,2273097,61,0.00013857745216228068,0.0,0.0,0.0,0.0,0.0,99.98614225437807,100.0,0.00013857745621936868
normal-http-test,bwd_urg_flags,2273097,61,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
normal-http-test,fwd_header_length,2273097,61,-32404.3671875,83.14754098360656,64.0,64.0,552.0,104.0,0.07707546136394532,1.639344262295082,0.4734409111243815
normal-http-test,bwd_header_length,2273097,61,-2854.52978515625,67.40983606557377,40.0,0.0,540.0,136.0,14.565194534153184,50.81967213114754,0.3625350975444298
normal-http-test,fwd_packets_s,2273097,61,58431.63671875,4757.65168453728,63.787715911865234,992.7200529450696,500000.0,23255.81395348837,0.08323445941814185,8.19672131147541,0.48768692604169117
normal-http-test,bwd_packets_s,2273097,61,6393.53515625,478.25380437817864,25.407569885253906,0.0,21276.595703125,1792.1146953405018,14.6018845654189,50.81967213114754,0.36217787565728643
normal-http-test,min_packet_length,2273097,61,20.224149703979492,0.0,6.0,0.0,55.0,0.0,40.154643642572225,100.0,0.5984535635742778
normal-http-test,max_packet_length,2273097,61,494.266357421875,90.98360655737704,90.0,0.0,2836.0,185.0,12.259309655505241,50.81967213114754,0.385603624756423
normal-http-test,packet_length_mean,2273097,61,109.29283905029297,18.014344262295083,58.599998474121094,0.0,435.1461486816406,36.875,12.259309655505241,50.81967213114754,0.6561431386342069
normal-http-test,packet_length_std,2273097,61,147.81883239746094,32.556331698355365,27.386127471923828,0.0,726.756591796875,66.39156035004966,25.816012251126985,50.81967213114754,0.296038400473011
normal-http-test,packet_length_variance,2273097,61,115813.2109375,2155.6949973978662,750.0,0.0,528175.1875,4407.839285714286,25.816012251126985,50.81967213114754,0.296038400473011
normal-http-test,fin_flag_count,2273097,61,0.018119772896170616,0.0,0.0,0.0,0.0,0.0,98.18802277245537,100.0,0.018119772275446255
normal-http-test,syn_flag_count,2273097,61,0.0548863522708416,0.0,0.0,0.0,1.0,0.0,94.51136489115952,100.0,0.054886351088404894
