candidate_row_index,ground_truth_class,origin_group,source_experiment,source_role,source_session_id,source_capture_id,source_row_index,source_row_identity,adapted_artifact,adapted_artifact_sha256,historical_source_csv,historical_source_csv_sha256,raw_extraction,raw_extraction_sha256,pcap,pcap_sha256,transformation
6698,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,0,10.10.10.2-10.10.20.2-35598-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6699,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,1,10.10.10.2-10.10.20.2-35598-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6700,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,2,10.10.10.2-10.10.20.2-35604-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6701,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,3,10.10.10.2-10.10.20.2-35604-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6702,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,4,10.10.10.2-10.10.20.2-53936-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6703,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,5,10.10.10.2-10.10.20.2-53936-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6704,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,6,10.10.10.2-10.10.20.2-53944-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6705,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,7,10.10.10.2-10.10.20.2-53944-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6706,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,8,10.10.10.2-10.10.20.2-53948-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6707,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,9,10.10.10.2-10.10.20.2-53948-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
6708,Normal,EXPERIMENT_F_A4_NORMAL_REMEDIATION,EXPERIMENT_F,F-ADAPTATION-NORMAL-A2,F-A1-NORMAL-A2-01,F-A1-NORMAL-A2-01,10,10.10.10.2-10.10.20.2-53954-8080-6,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/adapted_78/F-A1-NORMAL-A2-01_model_input_78.csv,4ed0482e82915c30e7572b1e148c2278ff7cc64f6c2d93185af5a2bfa4514a12,NOT_APPLICABLE,NOT_APPLICABLE,data/lab/experiment_f/normal_remediation_a2/derived/a4_run_01/raw_cicflowmeter/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap_ISCX.csv,e7b1ea5cb58408a42984cff70789fd854c21930f2157d8812d0e0f8ac3d563bb,data/lab/experiment_f/normal_remediation_a2/raw/observer/F-A1-NORMAL-A2-01/F-A1-NORMAL-A2-01.pcap,d7ceb5247f809fd4800330ba4b6d5207efc9fca9eacc54bd9e970c65a8e815e8,approved CICFlowMeter V3 -> frozen ordered 78-feature adapter; no imputation
